filename,label
Image_0.jpg,CLOUDED SULPHUR
Image_1.jpg,GREAT JAY
Image_2.jpg,BLACK HAIRSTREAK
Image_3.jpg,INDRA SWALLOW
Image_4.jpg,VICEROY
Image_5.jpg,CRIMSON PATCH
Image_6.jpg,MOURNING CLOAK
Image_7.jpg,CLOUDED SULPHUR
Image_8.jpg,ZEBRA LONG WING
Image_9.jpg,SILVER SPOT SKIPPER
Image_10.jpg,CAIRNS BIRDWING
Image_11.jpg,CRECENT
Image_12.jpg,MILBERTS TORTOISESHELL
Image_13.jpg,CABBAGE WHITE
Image_14.jpg,METALMARK
Image_15.jpg,AMERICAN SNOOT
Image_16.jpg,BANDED PEACOCK
Image_17.jpg,ORANGE TIP
Image_18.jpg,JULIA
Image_19.jpg,ORANGE TIP
Image_20.jpg,MANGROVE SKIPPER
Image_21.jpg,PAINTED LADY
Image_22.jpg,EASTERN PINE ELFIN
Image_23.jpg,ZEBRA LONG WING
Image_24.jpg,RED SPOTTED PURPLE
Image_25.jpg,QUESTION MARK
Image_26.jpg,LARGE MARBLE
Image_27.jpg,TROPICAL LEAFWING
Image_28.jpg,COMMON BANDED AWL
Image_29.jpg,SCARCE SWALLOW
Image_30.jpg,CRECENT
Image_31.jpg,MONARCH
Image_32.jpg,PINE WHITE
Image_33.jpg,MALACHITE
Image_34.jpg,EASTERN PINE ELFIN
Image_35.jpg,ELBOWED PIERROT
Image_36.jpg,SILVER SPOT SKIPPER
Image_37.jpg,GREEN CELLED CATTLEHEART
Image_38.jpg,AN 88
Image_39.jpg,AFRICAN GIANT SWALLOWTAIL
Image_40.jpg,TROPICAL LEAFWING
Image_41.jpg,MANGROVE SKIPPER
Image_42.jpg,MONARCH
Image_43.jpg,RED CRACKER
Image_44.jpg,SLEEPY ORANGE
Image_45.jpg,MONARCH
Image_46.jpg,SOOTYWING
Image_47.jpg,PURPLISH COPPER
Image_48.jpg,PEACOCK
Image_49.jpg,ATALA
Image_50.jpg,PURPLISH COPPER
Image_51.jpg,CHECQUERED SKIPPER
Image_52.jpg,BECKERS WHITE
Image_53.jpg,MESTRA
Image_54.jpg,ELBOWED PIERROT
Image_55.jpg,MONARCH
Image_56.jpg,EASTERN DAPPLE WHITE
Image_57.jpg,MANGROVE SKIPPER
Image_58.jpg,ELBOWED PIERROT
Image_59.jpg,PIPEVINE SWALLOW
Image_60.jpg,CRIMSON PATCH
Image_61.jpg,SCARCE SWALLOW
Image_62.jpg,RED POSTMAN
Image_63.jpg,MONARCH
Image_64.jpg,BROWN SIPROETA
Image_65.jpg,JULIA
Image_66.jpg,PURPLISH COPPER
Image_67.jpg,BLUE SPOTTED CROW
Image_68.jpg,CAIRNS BIRDWING
Image_69.jpg,SILVER SPOT SKIPPER
Image_70.jpg,LARGE MARBLE
Image_71.jpg,YELLOW SWALLOW TAIL
Image_72.jpg,RED POSTMAN
Image_73.jpg,ELBOWED PIERROT
Image_74.jpg,PAPER KITE
Image_75.jpg,GREAT EGGFLY
Image_76.jpg,SILVER SPOT SKIPPER
Image_77.jpg,GREAT JAY
Image_78.jpg,ORCHARD SWALLOW
Image_79.jpg,CRECENT
Image_80.jpg,EASTERN DAPPLE WHITE
Image_81.jpg,CLOUDED SULPHUR
Image_82.jpg,SILVER SPOT SKIPPER
Image_83.jpg,VICEROY
Image_84.jpg,SLEEPY ORANGE
Image_85.jpg,ORANGE OAKLEAF
Image_86.jpg,EASTERN PINE ELFIN
Image_87.jpg,GREEN CELLED CATTLEHEART
Image_88.jpg,SCARCE SWALLOW
Image_89.jpg,ORCHARD SWALLOW
Image_90.jpg,GREEN CELLED CATTLEHEART
