filename,label,img_dir
Image_4898.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_1850.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_2568.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_4215.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_189.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_4845.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_3208.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_2084.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_1393.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_482.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_4835.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_1159.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_3026.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_5153.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_4773.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_3311.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_3266.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_375.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_108.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_1613.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_5019.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_2189.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_3536.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_2167.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_4927.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_1409.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_4233.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_3935.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
Image_183.jpg,ADONIS,c:\Users\ricar\Downloads\TP2-Students\aca-butterflies\train
